,Similarity,Emoji,Target Emoji
0,1.0,😀,😀
1,0.8472072,😃,😀
2,0.8224339,😄,😀
3,0.8036399,😁,😀
9,0.77355874,😉,😀
10,0.7718707,😊,😀
5,0.7483132,😅,😀
21,0.7340065,😏,😀
28,0.7334101,🤭,😀
39,0.72477245,🤓,😀
25,0.7146326,🤪,😀
40,0.7041148,🧐,😀
124,0.70297676,🙈,😀
52,0.69605905,😬,😀
32,0.68583703,🤔,😀
264,0.6816753,🤷‍♂️,😀
17,0.680495,☺️,😀
262,0.6793402,🤦‍♀️,😀
26,0.67369527,😝,😀
24,0.67285264,😜,😀
1,1.0000001,😃,😃
0,0.8472072,😀,😃
3,0.8237565,😁,😃
10,0.8124743,😊,😃
21,0.78101337,😏,😃
39,0.77944565,🤓,😃
5,0.7697784,😅,😃
17,0.7692004,☺️,😃
9,0.76248395,😉,😃
139,0.74555546,🤌,😃
8,0.7444098,🙂,😃
28,0.74295413,🤭,😃
2,0.739676,😄,😃
35,0.73821324,🤠,😃
146,0.7295259,🤙,😃
38,0.7250769,😎,😃
41,0.7227463,🙃,😃
52,0.7178487,😬,😃
26,0.7154022,😝,😃
44,0.709086,🤨,😃
2,1.0,😄,😄
0,0.8224339,😀,😄
86,0.7860562,😨,😄
3,0.7848685,😁,😄
5,0.76906836,😅,😄
124,0.7473739,🙈,😄
1,0.739676,😃,😄
52,0.7228297,😬,😄
28,0.7187967,🤭,😄
39,0.70175093,🤓,😄
6,0.7014965,🤣,😄
21,0.6962414,😏,😄
4,0.68150115,😆,😄
10,0.66656744,😊,😄
32,0.66313195,🤔,😄
26,0.6586178,😝,😄
56,0.6572028,😌,😄
25,0.65311486,🤪,😄
41,0.65215313,🙃,😄
9,0.64344984,😉,😄
3,1.0000001,😁,😁
1,0.8237565,😃,😁
5,0.81330067,😅,😁
0,0.8036399,😀,😁
21,0.80260694,😏,😁
28,0.80075943,🤭,😁
39,0.79985195,🤓,😁
10,0.791828,😊,😁
56,0.78934056,😌,😁
9,0.7881541,😉,😁
2,0.7848685,😄,😁
52,0.7846148,😬,😁
8,0.7596771,🙂,😁
41,0.75608665,🙃,😁
25,0.7523397,🤪,😁
26,0.7497787,😝,😁
262,0.7491107,🤦‍♀️,😁
24,0.74434185,😜,😁
17,0.7406334,☺️,😁
46,0.7303957,😑,😁
4,1.0,😆,😆
6,0.81361806,🤣,😆
7,0.7692729,😂,😆
5,0.7128522,😅,😆
28,0.7115137,🤭,😆
26,0.70737827,😝,😆
25,0.70116305,🤪,😆
2,0.68150115,😄,😆
0,0.6728423,😀,😆
117,0.6645584,😹,😆
126,0.6533723,🙊,😆
124,0.6519469,🙈,😆
23,0.64808685,😛,😆
44,0.63423276,🤨,😆
3,0.6292355,😁,😆
68,0.62693036,🥴,😆
24,0.625019,😜,😆
21,0.6245784,😏,😆
43,0.6186486,🤐,😆
85,0.6132112,😧,😆
5,1.0,😅,😅
52,0.8677252,😬,😅
28,0.8553183,🤭,😅
56,0.8483287,😌,😅
21,0.84570765,😏,😅
51,0.84460896,🙄,😅
260,0.8361245,🤦,😅
41,0.8341089,🙃,😅
46,0.8340924,😑,😅
39,0.8252033,🤓,😅
37,0.8250416,🥸,😅
44,0.8208228,🤨,😅
25,0.81616503,🤪,😅
3,0.81330067,😁,😅
50,0.81175894,😒,😅
47,0.808007,😶,😅
26,0.80517954,😝,😅
7,0.80506366,😂,😅
124,0.80171037,🙈,😅
262,0.8010688,🤦‍♀️,😅
6,0.99999994,🤣,🤣
4,0.81361806,😆,🤣
7,0.77914006,😂,🤣
5,0.77893996,😅,🤣
26,0.7537769,😝,🤣
25,0.7354974,🤪,🤣
124,0.7323739,🙈,🤣
28,0.7209481,🤭,🤣
51,0.7122539,🙄,🤣
260,0.70712936,🤦,🤣
2,0.7014965,😄,🤣
68,0.69722515,🥴,🤣
117,0.6964115,😹,🤣
62,0.68865997,🤕,🤣
262,0.6867854,🤦‍♀️,🤣
126,0.68512803,🙊,🤣
44,0.68278533,🤨,🤣
21,0.67463773,😏,🤣
85,0.6700738,😧,🤣
52,0.6642716,😬,🤣
7,1.0,😂,😂
5,0.80506366,😅,😂
6,0.77914006,🤣,😂
4,0.7692729,😆,😂
260,0.7656355,🤦,😂
26,0.7544606,😝,😂
117,0.72884035,😹,😂
262,0.72676957,🤦‍♀️,😂
261,0.7229708,🤦‍♂️,😂
51,0.72139674,🙄,😂
50,0.72115296,😒,😂
46,0.72007495,😑,😂
28,0.71952736,🤭,😂
62,0.7169538,🤕,😂
85,0.7168179,😧,😂
43,0.71647483,🤐,😂
44,0.7133289,🤨,😂
25,0.7116844,🤪,😂
21,0.7111399,😏,😂
68,0.71064025,🥴,😂
8,1.0,🙂,🙂
41,0.8120972,🙃,🙂
56,0.7762278,😌,🙂
39,0.76083314,🤓,🙂
3,0.7596771,😁,🙂
10,0.75788796,😊,🙂
17,0.75404114,☺️,🙂
5,0.7529232,😅,🙂
52,0.7490644,😬,🙂
21,0.74761564,😏,🙂
1,0.7444098,😃,🙂
9,0.7383388,😉,🙂
62,0.72469515,🤕,🙂
699,0.7188453,🌚,🙂
76,0.71316296,🙁,🙂
73,0.7124482,😕,🙂
28,0.7107006,🤭,🙂
25,0.70945835,🤪,🙂
46,0.70214725,😑,🙂
77,0.6960498,☹️,🙂
9,0.9999998,😉,😉
25,0.819401,🤪,😉
39,0.79811525,🤓,😉
21,0.794317,😏,😉
24,0.7881805,😜,😉
3,0.7881541,😁,😉
10,0.78082347,😊,😉
38,0.77721006,😎,😉
0,0.77355874,😀,😉
264,0.77091247,🤷‍♂️,😉
263,0.76281494,🤷,😉
1,0.76248395,😃,😉
37,0.7577773,🥸,😉
41,0.7544472,🙃,😉
40,0.75194156,🧐,😉
5,0.7400104,😅,😉
8,0.7383388,🙂,😉
52,0.73735046,😬,😉
56,0.73590696,😌,😉
124,0.7314555,🙈,😉
10,1.0000001,😊,😊
17,0.8735106,☺️,😊
27,0.83686495,🤗,😊
1,0.8124743,😃,😊
3,0.791828,😁,😊
9,0.78082347,😉,😊
0,0.7718707,😀,😊
8,0.75788796,🙂,😊
39,0.7545499,🤓,😊
11,0.7496006,😇,😊
12,0.7353161,🥰,😊
56,0.7297989,😌,😊
252,0.7290594,🙋‍♂️,😊
115,0.72032964,😺,😊
253,0.71414465,🙋‍♀️,😊
116,0.7122186,😸,😊
251,0.7033644,🙋,😊
5,0.70210594,😅,😊
142,0.6978647,🤞,😊
18,0.6955292,😚,😊
11,0.9999998,😇,😇
10,0.7496006,😊,😇
252,0.7370505,🙋‍♂️,😇
56,0.69803023,😌,😇
251,0.69288176,🙋,😇
43,0.69271374,🤐,😇
129,0.6924962,🖐️,😇
163,0.6892885,👐,😇
9,0.68403625,😉,😇
142,0.67677426,🤞,😇
27,0.6766767,🤗,😇
26,0.6716949,😝,😇
17,0.6712885,☺️,😇
146,0.66779613,🤙,😇
3,0.6611722,😁,😇
144,0.6611344,🤟,😇
1,0.6589193,😃,😇
1377,0.6580138,❣️,😇
253,0.6579767,🙋‍♀️,😇
130,0.6513313,✋,😇
12,1.0,🥰,🥰
118,0.85968316,😻,🥰
13,0.845723,😍,🥰
82,0.8318046,🥺,🥰
17,0.82238173,☺️,🥰
14,0.80743396,🤩,🥰
1371,0.7958093,💖,🥰
1381,0.78692037,❤️,🥰
1369,0.7712121,💘,🥰
119,0.7693109,😼,🥰
1372,0.76872957,💗,🥰
1379,0.7677053,❤️‍🔥,🥰
18,0.75579625,😚,🥰
120,0.74948335,😽,🥰
1375,0.74848354,💕,🥰
1390,0.74131995,🖤,🥰
1380,0.73864913,❤️‍🩹,🥰
10,0.7353161,😊,🥰
1384,0.7284851,💛,🥰
935,0.7279032,♥️,🥰
13,1.0,😍,😍
12,0.845723,🥰,😍
14,0.8270043,🤩,😍
118,0.8159815,😻,😍
1379,0.73998475,❤️‍🔥,😍
1381,0.71972764,❤️,😍
1371,0.71359116,💖,😍
1369,0.7065031,💘,😍
139,0.70335895,🤌,😍
183,0.7031149,👀,😍
66,0.6950346,🥵,😍
82,0.6913266,🥺,😍
22,0.6815666,😋,😍
935,0.678286,♥️,😍
17,0.6770224,☺️,😍
56,0.6754579,😌,😍
1372,0.67340785,💗,😍
35,0.67027956,🤠,😍
119,0.66825837,😼,😍
53,0.6674611,😮‍💨,😍
14,0.99999994,🤩,🤩
13,0.8270043,😍,🤩
12,0.80743396,🥰,🤩
118,0.7414913,😻,🤩
78,0.730564,😮,🤩
71,0.7304317,🤯,🤩
183,0.72434586,👀,🤩
35,0.714963,🤠,🤩
139,0.714545,🤌,🤩
38,0.7054838,😎,🤩
66,0.7041177,🥵,🤩
39,0.69663435,🤓,🤩
119,0.69210917,😼,🤩
1379,0.6914221,❤️‍🔥,🤩
1,0.68145275,😃,🤩
804,0.67596036,🍿,🤩
79,0.6746638,😯,🤩
70,0.67385364,😵‍💫,🤩
82,0.67321277,🥺,🤩
56,0.6708587,😌,🤩
15,0.9999999,😘,😘
27,0.788332,🤗,😘
18,0.7565629,😚,😘
1393,0.7372501,💋,😘
19,0.7222988,😙,😘
17,0.6954929,☺️,😘
116,0.6926072,😸,😘
1374,0.692281,💞,😘
253,0.68353826,🙋‍♀️,😘
12,0.67646265,🥰,😘
10,0.6657056,😊,😘
1371,0.6549542,💖,😘
1375,0.6395203,💕,😘
120,0.6387146,😽,😘
1381,0.6349123,❤️,😘
251,0.62747097,🙋,😘
119,0.6248095,😼,😘
16,0.623848,😗,😘
1372,0.61887527,💗,😘
9,0.6161503,😉,😘
16,1.0,😗,😗
19,0.8923542,😙,😗
120,0.85166097,😽,😗
18,0.8396308,😚,😗
122,0.81768394,😿,😗
123,0.8128196,😾,😗
119,0.8048788,😼,😗
116,0.8018981,😸,😗
53,0.78431576,😮‍💨,😗
62,0.7742542,🤕,😗
65,0.7740505,🤧,😗
49,0.76856416,😶‍🌫️,😗
82,0.75406796,🥺,😗
61,0.7523241,🤒,😗
93,0.75208145,😣,😗
72,0.7481829,🥱,😗
354,0.7460205,🤸,😗
23,0.74515194,😛,😗
69,0.7432823,😵,😗
77,0.7382312,☹️,😗
17,1.0000001,☺️,☺️
10,0.8735106,😊,☺️
12,0.82238173,🥰,☺️
27,0.79188305,🤗,☺️
39,0.77391505,🤓,☺️
1,0.7692004,😃,☺️
56,0.76678026,😌,☺️
8,0.75404114,🙂,☺️
82,0.74657553,🥺,☺️
41,0.7421926,🙃,☺️
3,0.7406334,😁,☺️
25,0.7272723,🤪,☺️
18,0.7262522,😚,☺️
9,0.7258342,😉,☺️
5,0.71947575,😅,☺️
16,0.71915954,😗,☺️
37,0.71629065,🥸,☺️
77,0.710545,☹️,☺️
19,0.70658237,😙,☺️
52,0.7046272,😬,☺️
18,1.0,😚,😚
19,0.8799577,😙,😚
120,0.8771185,😽,😚
116,0.8725728,😸,😚
16,0.8396308,😗,😚
253,0.7811153,🙋‍♀️,😚
119,0.7759744,😼,😚
1393,0.7707683,💋,😚
144,0.7620678,🤟,😚
15,0.7565629,😘,😚
12,0.75579625,🥰,😚
27,0.75327045,🤗,😚
128,0.7399636,🤚,😚
1369,0.73742527,💘,😚
118,0.7370047,😻,😚
354,0.7293306,🤸,😚
17,0.7262522,☺️,😚
1373,0.7192252,💓,😚
115,0.7128562,😺,😚
184,0.7123872,👅,😚
19,0.99999994,😙,😙
16,0.8923542,😗,😙
18,0.8799577,😚,😙
120,0.87227184,😽,😙
116,0.83777666,😸,😙
119,0.8121048,😼,😙
144,0.76239485,🤟,😙
49,0.7565137,😶‍🌫️,😙
354,0.74478525,🤸,😙
123,0.7396106,😾,😙
1369,0.73557353,💘,😙
15,0.7222988,😘,😙
12,0.7219767,🥰,😙
23,0.7203131,😛,😙
457,0.7101052,🧚‍♀️,😙
253,0.709226,🙋‍♀️,😙
128,0.70877016,🤚,😙
17,0.70658237,☺️,😙
62,0.70374346,🤕,😙
53,0.7019896,😮‍💨,😙
20,1.0,🥲,🥲
77,0.90347934,☹️,🥲
57,0.89821696,😔,🥲
95,0.8819324,😓,🥲
94,0.87844163,😞,🥲
87,0.86894995,😰,🥲
46,0.867251,😑,🥲
76,0.86593485,🙁,🥲
58,0.8657125,😪,🥲
93,0.86496407,😣,🥲
65,0.86246705,🤧,🥲
82,0.861259,🥺,🥲
90,0.85880905,😭,🥲
92,0.85753167,😖,🥲
70,0.844337,😵‍💫,🥲
45,0.84371936,😐,🥲
97,0.842031,😫,🥲
56,0.8405588,😌,🥲
50,0.83501226,😒,🥲
47,0.8341076,😶,🥲
